Unnamed: 0.1,Unnamed: 0,domain,url,seed_type,link_type,title,link_type2
2914,2914,8kolonn.ru,http://8kolonn.ru/katalog/kamery-videonablyudeniya.html,product,other,Камеры видеонаблюдения | Аренда залов - 8 колонн,product
2915,2915,8kolonn.ru,http://8kolonn.ru/katalog/delovaya-literatura.html,product,other,Деловая литература | Аренда залов - 8 колонн,product
2916,2916,7not-pnz.ru,http://7not-pnz.ru/services/zamena-podgrifka-na-skripke,product,other,Моя компания,other
2917,2917,8kolonn.ru,http://8kolonn.ru/katalog/ofisnye-sejfy.html,product,other,Офисные сейфы | Аренда залов - 8 колонн,product
2918,2918,7not-pnz.ru,http://7not-pnz.ru/services/ustanovka-dushki-na-skripke,product,other,Моя компания,other
2919,2919,8kolonn.ru,http://8kolonn.ru/katalog/metallodetektory.html,product,other,Металлодетекторы | Аренда залов - 8 колонн,product
2920,2920,9sargb.ru,http://9sargb.ru/company/antikorruptsionnaya-politika.php,product,other,Антикоррупционная политика,news
2921,2921,8kolonn.ru,http://8kolonn.ru/katalog/biznes-knigi.html,product,other,Бизнес-книги | Аренда залов - 8 колонн,product
2922,2922,7not-pnz.ru,http://7not-pnz.ru/services/zamena-podstavki-na-skripke-s-regulirovkoi,product,other,Моя компания,other
2923,2923,7not-pnz.ru,http://7not-pnz.ru/services/zamena-podborodnika-na-skripke,product,other,Моя компания,other
2924,2924,8kolonn.ru,http://8kolonn.ru/yuridicheskie-voprosy.html,product,other,Юридические вопросы | Аренда залов - 8 колонн,other
2925,2925,8kolonn.ru,http://8kolonn.ru/katalog/arenda-nedvizhimosti.html,product,other,Аренда недвижимости | Аренда залов - 8 колонн,product
2926,2926,8kolonn.ru,http://8kolonn.ru/kuplya-prodazha-zhilya.html,product,other,Купля-продажа жилья | Аренда залов - 8 колонн,other
2927,2927,7not-pnz.ru,http://7not-pnz.ru/services/zamena-kolkovoi-mekhaniki,product,other,Моя компания,other
2928,2928,7not-pnz.ru,http://7not-pnz.ru/services/zamena-strun,product,other,Моя компания,other
2929,2929,8kolonn.ru,http://8kolonn.ru/arenda-kommercheskoj-nedvizhimosti.html,product,other,Аренда коммерческой недвижимости | Аренда залов - 8 колонн,other
2930,2930,7not-pnz.ru,http://7not-pnz.ru/services/regulirovka-vysoty-strun-ustranenie-drebezga,product,other,Моя компания,other
2931,2931,8kolonn.ru,http://8kolonn.ru/arenda-zhilya.html,product,other,Аренда жилья | Аренда залов - 8 колонн,other
2932,2932,7not-pnz.ru,http://7not-pnz.ru/services/shlifovka-tortsov-ladov-na-gitare,product,other,Моя компания,other
2933,2933,8kolonn.ru,http://8kolonn.ru/yuridicheskie-voprosy/14-dogovor-arendy-kommercheskoj-nedvizhimosti-nyuansy-i-podvodnye-kamni.html,product,other,Договор аренды коммерческой недвижимости. Нюансы и подводные камни | Аренда залов - 8 колонн,other
2934,2934,8kolonn.ru,http://8kolonn.ru/yuridicheskie-voprosy/15-rastorzhenie-dogovora-kupli-prodazhi-nedvizhimosti-chto-nuzhno-znat.html,product,other,Расторжение договора купли-продажи недвижимости. Что нужно знать | Аренда залов - 8 колонн,other
